Items,densite,melt,COULEUR,I_CM,I_G,I_F
HDPE,0.952,0.34,MIX,EXT,1.0,RG
HDPE,0.945,0.37,MIX,EXT,1.0,RG
HDPE,0.958,0.57,MIX,EXT,1.0,RG
HDPE,0.959,0.5,MIX,EXT,1.0,RG
HDPE,0.961,0.38,MIX,EXT,L,RG
HDPE,0.966,0.65,BK,EXT,1.0,RP
HDPE,0.969,0.73,BK,EXT,1.0,RP
HDPE,0.974,0.73,BK,EXT,1.0,RP
HDPE,0.971,0.9,BK,EXT,1.0,RP
HDPE,0.975,0.8,BK,EXT,1.0,RP
HDPE,0.975,0.83,BK,EXT,1.0,RP
HDPE,0.975,0.75,BK,EXT,1.0,RP
HDPE,0.973,0.65,BK,EXT,1.0,RP
HDPE,0.95,0.3,MIX,EXT,HF,RP
HDPE,0.951,0.79,MIX,EXT,1.0,RG
HDPE,0.958,0.8,MIX,EXT,1.0,RG
HDPE,0.955,5.6,MIX,INJ,1.0,RG
HDPE,0.958,0.55,MIX,INJ,1.0,RG
HDPE,0.958,0.68,MIX,EXT,1.0,RG
HDPE,0.996,0.25,MIX,EXT,HF,RP
HDPE,0.96,0.2,MIX,EXT,HF,RP
HDPE,0.955,0.33,MIX,EXT,HF,RP
HDPE,0.965,0.7,WH,EXT,1.0,RG
HDPE,0.938,0.15,MIX,EXT,1.0,RG
HDPE,0.933,6.7,MIX,INJ,1.0,RG
HMW,0.944,11.0,MIX,EXT,1.0,RG
LDPE,0.942,1.0,MIX,EXT,1.0,RG
LDPE,0.91,3.3,MIX,EXT,1.0,RG
HDPE,0.946,0.3,NAT,EXT,3.0,RG
HMW,0.955,11.0,MIX,EXT,1.0,RG
LDPE,0.937,0.85,MIX,EXT,1.0,RG
HDPE,0.961,0.33,WH,EXT,3.0,RG
HDPE,0.944,0.4,NAT,EXT,1.0,RG
LDPE,0.933,1.1,MIX,EXT,1.0,RG
HDPE,0.94,9.9,NAT,INJ,3.0,RG
HDPE,0.95,0.15,NAT,INJ,1.0,RG
LDPE,0.929,0.6,MIX,EXT,1.0,RG
HDPE,0.96,0.35,WH,EXT,3.0,RG
LDPE,0.933,1.0,MIX,EXT,1.0,RG
HDPE,0.95,0.37,MIX,EXT,3.0,RG
HDPE,0.944,0.23,MIX,EXT,1.0,RG
HDPE,0.955,0.3,MIX,EXT,1.0,RG
HDPE,0.974,0.2,MIX,EXT,1.0,RG
HMW,0.95,17.0,MIX,EXT,1.0,RG
HDPE,0.959,0.27,MIX,EXT,1.0,RG
HMW,0.948,13.0,MIX,EXT,1.0,RG
HDPE,0.959,0.38,MIX,EXT,1.0,RG
HDPE,0.958,0.21,MIX,EXT,1.0,RG
HDPE,0.945,5.7,BK,INJ,1.0,RP
HDPE,0.95,4.9,BK,INJ,1.0,RP
HDPE,0.949,5.5,BK,INJ,1.0,RP
HDPE,0.966,4.2,BK,INJ,1.0,RP
HDPE,0.959,0.6,MIX,EXT,CH,RG
HDPE,0.957,0.4,MIX,EXT,CH,RG
HDPE,0.945,5.5,MIX,INJ,E,RG
HDPE,0.96,6.4,BK,INJ,1.0,RP
HDPE,0.96,6.3,BK,INJ,1.0,RP
HDPE,0.954,6.5,BK,INJ,1.0,RP
HDPE,0.959,6.2,BK,INJ,1.0,RP
HDPE,0.958,20.0,MIX,INJ,1.0,RG
HDPE,0.947,22.0,MIX,INJ,1.0,RG
HDPE,0.958,5.6,MIX,INJ,1.0,RG
HDPE,0.951,7.1,MIX,INJ,1.0,RG
HDPE,0.949,6.9,MIX,INJ,1.0,RG
HMW,0.957,13.0,MIX,EXT,1.0,RG
HMW,0.941,16.0,MIX,EXT,1.0,RG
HMW,0.947,18.0,MIX,EXT,1.0,RG
HMW,0.946,14.0,MIX,EXT,1.0,RG
HMW,0.946,6.0,MIX,EXT,1.0,RG
HDPE,0.951,1.1,MIX,EXT,1.0,RG
LDPE,0.925,10.0,MIX,INJ,1.0,RG
LLDPE,0.925,33.0,MIX,HM,1.0,RG
HMW,0.953,10.0,MIX,EXT,1.0,RG
HDPE,0.948,0.63,MIX,EXT,2.0,RG
HDPE,0.96,1.5,MIX,EXT,2.0,RG
HDPE,0.933,1.1,MIX,EXT,1.0,RG
HMW,0.95,4.0,MIX,EXT,1.0,RG
HDPE,0.948,0.45,MIX,EXT,1.0,RG
HDPE,0.945,1.1,MIX,EXT,1.0,RG
HDPE,0.942,1.1,MIX,EXT,1.0,RG
HDPE,0.924,1.2,MIX,EXT,1.0,RG
HDPE,0.935,0.41,MIX,EXT,1.0,RG
HDPE,0.925,1.2,MIX,EXT,1.0,RG
HDPE,0.959,1.2,MIX,EXT,1.0,RG
HDPE,0.942,3.7,MIX,INJ,2.0,RG
HDPE,0.953,5.1,MIX,INJ,2.0,RG
HDPE,0.957,5.7,MIX,INJ,2.0,RG
HDPE,0.957,6.7,MIX,INJ,2.0,RG
HDPE,0.953,0.24,MIX,EXT,2.0,RG
LDPE,0.91,2.7,MIX,OFF,2.0,RG
HDPE,0.936,1.1,MIX,EXT,1.0,RG
HDPE,0.931,1.1,MIX,EXT,1.0,RG
HDPE,0.936,0.3,MIX,EXT,1.0,RG
HDPE,0.955,4.5,MIX,INJ,1.0,RG
HDPE,0.95,4.8,MIX,INJ,1.0,RG
LDPE,0.921,7.8,GREY,INJ,1.0,RP
LDPE,0.924,9.6,MIX,INJ,1.0,RP
LDPE,0.934,8.9,GREYI,INJ,1.0,RP
LDPE,0.921,9.1,MIX,INJ,1.0,RP
LDPE,0.923,4.0,GREYI,INJ,1.0,RP
LDPE,0.923,3.2,MIX,INJ,1.0,RP
LDPE,0.925,3.0,MIX,INJ,1.0,RP
HDPE,0.949,0.3,MIX,EXT,HF,RP
HDPE,0.946,0.28,MIX,EXT,HF,RP
HDPE,0.992,0.21,MIX,EXT,HF,RP
HDPE,0.953,0.3,MIX,EXT,HF,RP
HDPE,0.971,0.6,BK,EXT,1.0,RP
HDPE,0.978,0.72,BK,EXT,1.0,RP
LDPE,0.92,13.0,MIX,INJ,2.0,RG
LDPE,0.921,13.0,MIX,INJ,2.0,RG
HDPE,0.935,0.49,MIX,EXT,1.0,RG
HDPE,0.953,0.53,MIX,EXT,1.0,RG
HDPE,0.963,0.43,MIX,EXT,1.0,RG
HDPE,0.942,0.44,WH,EXT,1.0,RG
HDPE,0.957,0.35,MIX,EXT,1.0,RG
HDPE,0.943,0.52,MIX,EXT,1.0,RG
HDPE,0.943,0.73,MIX,EXT,1.0,RG
HDPE,0.943,0.31,MIX,EXT,1.0,RG
HDPE,0.949,0.37,MIX,EXT,1.0,RG
HDPE,0.947,0.55,MIX,EXT,1.0,RG
LDPE,0.936,1.0,BK,EXT,1.0,RP
LDPE,0.932,1.0,BK,EXT,1.0,RP
LDPE,0.942,2.0,BK,EXT,1.0,RP
LDPE,0.942,2.1,BK,EXT,1.0,RP
HDPE,0.95,6.6,MIX,INJ,E,RG
HDPE,0.942,22.0,MIX,INJ,1.0,RG
HDPE,0.934,19.0,MIX,INJ,1.0,RG
LDPE,0.932,8.0,NAT,INJ,2.0,WS
LDPE,0.932,9.0,BE,INJ,2.0,RP
LDPE,0.925,6.4,BE,INJ,1.0,RP
LDPE,0.925,5.0,YELI,INJ,1.0,WS
LDPE,0.91,6.1,NAT,INJ,1.0,WS
LDPE,0.932,10.0,NAT,INJ,1.0,WS
LDPE,0.925,5.5,NAT,INJ,1.0,WS
LDPE,0.925,6.2,NAT,INJ,1.0,WS
LDPE,0.93,8.0,YELI,INJ,1.0,WS
HMW,0.938,12.0,MIX,EXT,1.0,RG
HMW,0.942,13.0,MIX,EXT,1.0,RG
HMW,0.939,15.0,MIX,EXT,1.0,RG
HMW,0.939,14.0,MIX,EXT,1.0,RG
HDPE,0.966,13.0,BK,INJ,1.0,RP
HDPE,0.946,14.0,BK,INJ,1.0,RP
HDPE,0.949,0.39,MIX,EXT,1.0,RG
HDPE,0.953,0.46,MIX,EXT,1.0,RG
HDPE,0.959,0.41,MIX,EXT,1.0,RG
HDPE,0.946,0.3,MIX,EXT,1.0,RG
HDPE,0.948,7.6,MIX,INJ,1.0,RG
HDPE,0.947,4.5,MIX,INJ,FO,RG
HMW,0.52,14.0,BK,EXT,1.0,RG
HDPE,0.978,4.8,MIX,INJ,FO,RG
HDPE,0.947,76.0,MIX,HM,1.0,RG
HMW,0.951,13.0,BK,EXT,1.0,RG
HDPE,0.93,3.4,MIX,INJ,FO,RG
HDPE,0.956,1.8,MIX,INJ,FO,RG
HDPE,0.925,2.8,MIX,INJ,FO,RG
HDPE,0.976,4.4,MIX,INJ,FO,RG
HDPE,0.965,7.6,MIX,INJ,1.0,RG
HDPE,0.983,1.6,MIX,INJ,FO,RG
HDPE,0.937,11.0,MIX,INJ,1.0,RG
HDPE,0.953,8.2,MIX,INJ,1.0,RG
HMW,0.951,13.0,BK,OFF,1.0,RG
HDPE,0.971,16.0,BK,INJ,1.0,RP
HDPE,0.957,5.7,BK,INJ,1.0,RP
HDPE,0.98,4.4,BK,INJ,1.0,RP
HDPE,0.969,5.3,BK,INJ,1.0,RP
HDPE,0.963,5.1,BK,INJ,1.0,RP
HDPE,0.958,0.27,MIX,EXT,1.0,RG
HDPE,0.956,0.54,MIX,EXT,1.0,RG
HDPE,0.951,0.5,MIX,EXT,1.0,RG
HDPE,0.969,1.0,WH,EXT,1.0,RG
HDPE,0.961,1.1,WH,EXT,1.0,RG
HDPE,0.956,0.88,WH,EXT,1.0,RG
HDPE,0.969,0.9,WH,EXT,1.0,RG
HDPE,0.951,1.0,WH,EXT,1.0,RG
HDPE,0.96,15.0,BK,INJ,1.0,RP
HDPE,0.96,14.0,BK,INJ,1.0,RP
HDPE,0.961,5.0,WH,INJ,1.0,RG
HDPE,0.965,6.6,WH,INJ,1.0,RG
HDPE,0.965,6.8,WH,INJ,2.0,RG
HDPE,0.953,7.6,MIX,INJ,1.0,RG
HDPE,0.953,7.2,MIX,INJ,1.0,RG
HDPE,0.953,6.7,MIX,INJ,1.0,RG
HDPE,0.952,7.6,MIX,INJ,1.0,RG
HDPE,0.951,0.64,MIX,EXT,1.0,RG
HDPE,0.944,0.49,MIX,EXT,1.0,RG
HDPE,0.948,0.48,MIX,EXT,1.0,RG
HDPE,0.964,6.2,BK,INJ,1.0,RP
HDPE,0.959,6.0,BK,INJ,1.0,RP
HDPE,0.963,5.9,BK,INJ,1.0,RP
HDPE,0.96,5.4,BK,INJ,1.0,RP
HDPE,0.95,6.2,MIX,INJ,E,RG
HMW,0.954,19.0,MIX,EXT,2.0,RG
HMW,0.946,13.0,MIX,EXT,2.0,RG
HMW,0.954,24.0,MIX,EXT,2.0,RG
HDPE,0.961,7.1,MIX,INJ,1.0,RG
HDPE,0.953,5.8,BK,INJ,1.0,RP
HDPE,0.952,0.15,MIX,EXT,L,RG
HDPE,0.952,0.53,MIX,EXT,HF,RP
HDPE,0.945,5.1,MIX,INJ,2.0,RG
HDPE,0.937,2.5,MIX,INJ,2.0,RG
HDPE,0.946,4.2,MIX,INJ,2.0,RG
HDPE,0.955,0.39,MIX,EXT,1.0,RG
HDPE,0.939,0.34,MIX,EXT,1.0,RG
HMW,0.957,10.0,MIX,EXT,1.0,RG
HMW,0.944,5.0,MIX,EXT,1.0,RG
HDPE,0.96,0.37,MIX,EXT,E,RG
HDPE,0.947,0.16,MIX,EXT,1.0,RG
HDPE,0.955,0.31,MIX,EXT,1.0,RG
HDPE,0.949,0.54,MIX,EXT,2.0,RP
LDPE,0.962,0.23,BLU,EXT,2.0,RP
HDPE,0.943,0.28,MIX,EXT,1.0,RP
LDPE,0.965,0.26,BLU,EXT,2.0,RP
HDPE,0.953,1.24,MIX,EXT,1.0,RP
HDPE,0.946,0.35,MIX,EXT,1.0,RG
HDPE,0.958,6.3,MIX,INJ,1.0,RG
HDPE,0.973,0.43,MIX,EXT,1.0,RG
HDPE,0.98,0.72,MIX,EXT,1.0,RG
HMW,0.95,13.0,MIX,EXT,1.0,RG
HMW,1.0,6.0,MIX,EXT,1.0,RG
HMW,0.975,5.4,MIX,EXT,1.0,RG
HMW,0.956,6.6,MIX,EXT,1.0,RG
HMW,0.952,12.0,MIX,EXT,1.0,RG
HDPE,0.954,0.54,MIX,EXT,1.0,RG
LDPE,0.932,6.1,NAT,OFF,1.0,WS
LDPE,0.925,1.1,NAT,OFF,1.0,WS
HDPE,0.975,0.33,MIX,EXT,1.0,RG
HDPE,0.964,0.34,MIX,EXT,HF,RP
HDPE,0.969,3.1,MIX,EXT,HF,RP
HDPE,0.977,0.3,WH,EXT,3.0,RG
HDPE,0.968,0.35,WH,EXT,3.0,RG
HMW,0.958,23.0,MIX,EXT,1.0,RG
LDPE,0.937,0.86,MIX,EXT,1.0,RG
HMW,0.952,9.2,MIX,EXT,1.0,RG
HMW,0.975,8.8,MIX,EXT,1.0,RG
MDPE,0.94,5.8,MIX,OFF,1.0,RG
HDPE,0.958,7.1,MIX,INJ,1.0,RG
HDPE,0.956,6.0,WH,INJ,1.0,RG
HDPE,0.961,7.5,MIX,INJ,1.0,RG
HDPE,0.961,8.1,MIX,INJ,1.0,RG
HDPE,0.954,6.4,MIX,INJ,1.0,RG
HDPE,0.958,0.16,MIX,EXT,1.0,RG
HDPE,0.959,4.0,MIX,INJ,1.0,RG
HDPE,0.959,4.5,MIX,INJ,1.0,RG
MDPE,0.937,3.2,BK,OFF,1.0,RP
MDPE,0.947,3.9,BK,OFF,1.0,RP
MDPE,0.946,3.6,MIX,OFF,1.0,RP
MDPE,0.946,4.0,BK,OFF,1.0,RP
HDPE,0.96,0.32,MIX,EXT,1.0,RG
LDPE,0.91,2.6,BK,EXT,1.0,RP
LDPE,0.937,2.0,BK,EXT,1.0,RP
HDPE,0.966,0.37,MIX,EXT,1.0,RG
HDPE,0.97,0.4,MIX,EXT,1.0,RG
HDPE,0.97,0.39,MIX,EXT,1.0,RG
HDPE,0.954,9.3,MIX,INJ,1.0,RG
HDPE,0.954,9.2,MIX,INJ,1.0,RG
HDPE,0.949,9.4,MIX,INJ,1.0,RG
HDPE,0.954,10.4,MIX,INJ,1.0,RG
HDPE,0.949,9.2,MIX,INJ,1.0,RG
HDPE,0.956,9.6,MIX,INJ,1.0,RG
HDPE,0.956,5.2,MIX,INJ,1.0,RG
HDPE,0.946,9.0,MIX,INJ,1.0,RG
HDPE,0.973,6.0,MIX,INJ,1.0,RG
HDPE,0.969,6.0,MIX,INJ,1.0,RG
HDPE,0.965,4.4,MIX,INJ,1.0,RG
MDPE,0.943,3.2,MIX,OFF,1.0,RG
HDPE,0.969,0.24,MIX,EXT,1.0,RG
HMW,0.985,7.7,MIX,EXT,1.0,RG
HMW,0.958,14.0,BK,EXT,1.0,RP
HMW,0.954,12.0,BK,EXT,1.0,RP
HMW,0.954,14.0,BK,EXT,1.0,RP
HMW,0.946,12.0,BK,EXT,1.0,RP
HMW,0.958,10.0,BK,EXT,1.0,RP
HMW,0.954,13.0,BK,EXT,1.0,RP
LDPE,0.937,3.8,BK,EXT,1.0,RP
LDPE,0.937,3.3,BK,EXT,1.0,RP
MDPE,0.925,6.5,MIX,INJ,1.0,RG
HDPE,0.973,0.36,MIX,EXT,1.0,RG
HDPE,0.954,6.5,WH,INJ,1.0,RG
LDPE,0.937,1.4,MIX,EXT,1.0,RG
LDPE,0.932,0.86,MIX,EXT,1.0,RP
LDPE,0.954,0.89,MIX,EXT,1.0,RP
LDPE,0.954,0.94,MIX,EXT,1.0,RP
HDPE,0.973,0.86,WH,EXT,1.0,RG
HDPE,0.956,0.83,WH,EXT,1.0,RG
HDPE,0.973,0.79,WH,EXT,1.0,RG
HDPE,0.966,6.3,MIX,INJ,1.0,RG
HDPE,0.963,6.7,MIX,INJ,1.0,RG
HDPE,0.962,6.9,MIX,INJ,1.0,RG
HDPE,0.959,6.7,MIX,INJ,1.0,RG
HDPE,0.966,7.0,MIX,INJ,1.0,RG
HDPE,0.957,0.36,MIX,EXT,1.0,RG
HDPE,0.966,5.5,MIX,INJ,1.0,RG
HDPE,0.952,5.8,MIX,INJ,1.0,RG
HDPE,0.946,5.3,MIX,INJ,2.0,RG
HDPE,0.946,4.7,MIX,INJ,2.0,RG
HDPE,0.954,0.33,MIX,EXT,1.0,RP
HDPE,0.946,0.28,NAT,EXT,3.0,RP
HDPE,0.954,0.15,NAT,EXT,3.0,RP
HDPE,0.954,0.17,NAT,EXT,3.0,RP
HDPE,0.969,0.3,MIX,EXT,1.0,RG
HDPE,0.961,5.9,GREY,INJ,1.0,RP
HDPE,0.969,5.6,GREY,INJ,1.0,RP
HDPE,0.961,6.1,GREY,INJ,1.0,RP
HDPE,0.946,4.3,MIX,INJ,1.0,RP
HDPE,0.958,0.61,MIX,EXT,1.0,RG
HDPE,0.969,0.17,MIX,EXT,HF,RP
LDPE,0.942,5.2,NAT,INJ,2.0,WS
LDPE,0.925,3.5,NAT,INJ,2.0,WS
LDPE,0.92,2.8,NAT,INJ,2.0,WS
LDPE,0.92,3.2,NAT,INJ,2.0,WS
LDPE,0.92,8.4,NAT,INJ,2.0,WS
LDPE,0.932,1.0,NAT,INJ,2.0,WS
LDPE,0.946,9.1,NAT,INJ,2.0,WS
LDPE,0.925,2.6,NAT,INJ,2.0,WS
HDPE,0.965,0.23,MIX,EXT,1.0,RG
HDPE,0.975,0.57,BK,EXT,CH,RP
HDPE,0.975,0.51,BK,EXT,CH,RP
HDPE,0.975,0.53,BK,EXT,CH,RP
HDPE,0.949,19.5,MIX,INJ,1.0,RG
HDPE,0.965,0.08,MIX,EXT,HF,RP
HMW,0.962,8.8,MIX,EXT,1.0,RG
HDPE,0.961,14.3,NAT,INJ,1.0,RG
HDPE,0.965,14.2,NAT,INJ,1.0,RG
HDPE,0.965,0.43,BK,EXT,1.0,RG
HDPE,0.965,0.29,BK,EXT,1.0,RG
HDPE,0.965,0.31,BK,EXT,1.0,RG
HDPE,0.969,1.8,MIX,EXT,1.0,RG
HDPE,0.965,0.12,MIX,EXT,1.0,RG
HDPE,0.975,0.35,MIX,EXT,1.0,RG
HDPE,0.966,0.39,MIX,EXT,1.0,RG
HDPE,0.966,0.42,MIX,EXT,1.0,RG
HDPE,0.951,4.0,MIX,INJ,L,RG
HDPE,0.965,2.2,MIX,INJ,L,RG
HDPE,0.958,5.1,MIX,INJ,L,RG
HDPE,0.962,5.5,MIX,INJ,L,RG
LDPE,0.937,10.0,BLU,INJ,2.0,RG
LDPE,0.942,13.0,BLU,INJ,2.0,RG
HDPE,0.961,4.7,MIX,INJ,2.0,RG
HDPE,0.966,7.3,MIX,INJ,2.0,RG
HDPE,0.966,5.7,MIX,INJ,2.0,RG
HDPE,0.985,0.44,MIX,EXT,1.0,RG
HDPE,0.97,0.15,MIX,EXT,HF,RP
HMW,0.97,7.0,MIX,EXT,E,RP
HDPE,0.97,0.88,BK,EXT,2.0,RP
HMW,0.966,13.0,BK,EXT,1.0,RP
HDPE,0.933,0.69,MIX,EXT,2.0,RP
HDPE,0.966,1.7,RED,EXT,2.0,RP
HMW,0.965,8.6,BK,EXT,1.0,RP
HMW,0.965,8.2,BK,EXT,1.0,RP
HMW,0.965,7.2,BK,EXT,1.0,RP
HMW,0.966,8.0,BK,EXT,1.0,RP
HDPE,0.958,6.0,MIX,INJ,E,RG
HDPE,0.97,0.21,MIX,EXT,HF,RP
HDPE,0.97,0.19,MIX,EXT,HF,RP
HDPE,0.969,0.15,MIX,EXT,HF,RP
HDPE,0.973,0.16,MIX,EXT,HF,RP
HDPE,0.97,0.16,MIX,EXT,HF,RP
HDPE,0.973,0.18,MIX,EXT,HF,RP
HDPE,0.985,0.31,MIX,EXT,HF,RP
HDPE,0.966,0.29,MIX,EXT,HF,RP
LDPE,0.951,0.96,MIX,EXT,1.0,RG
HDPE,0.966,0.35,MIX,EXT,1.0,RG
HDPE,0.962,0.35,MIX,EXT,1.0,RG
HMW,0.966,9.1,MIX,EXT,E,RP
HDPE,0.966,7.9,BK,EXT,2.0,RP
HDPE,0.966,0.45,MIX,EXT,1.0,RP
HDPE,0.969,0.49,MIX,EXT,1.0,RG
HDPE,0.961,3.5,MIX,INJ,1.0,RG
HDPE,0.958,4.7,MIX,INJ,1.0,RG
HDPE,0.965,0.28,GRE,EXT,1.0,RG
HMW,0.958,11.0,BK,EXT,1.0,RG
HDPE,0.962,0.41,MIX,EXT,1.0,RG
HDPE,0.965,0.18,MIX,EXT,1.0,RG
HDPE,0.951,0.41,MIX,EXT,R,RG
HDPE,0.969,0.51,MIX,EXT,2.0,RG
HDPE,0.98,0.47,MIX,EXT,2.0,RG
HDPE,0.97,0.6,MIX,EXT,HF,RP
HDPE,0.962,0.7,MIX,EXT,HF,RP
HDPE,0.962,0.43,MIX,EXT,HF,RP
HDPE,0.966,0.49,MIX,EXT,HF,RP
HDPE,0.966,15.0,BK,INJ,1.0,RP
HDPE,0.963,19.0,BK,INJ,1.0,RP
HDPE,0.961,17.5,BK,INJ,1.0,RP
HDPE,0.958,18.5,BK,INJ,1.0,RP
HDPE,0.966,18.9,BK,INJ,1.0,RP
HDPE,0.966,20.0,BK,INJ,1.0,RP
HDPE,0.966,0.44,MIX,EXT,1.0,RG
HDPE,0.966,0.29,MIX,EXT,1.0,RG
HDPE,0.966,0.34,MIX,EXT,1.0,RG
HDPE,0.97,0.37,MIX,EXT,1.0,RG
HDPE,0.985,0.55,MIX,EXT,CH,RG
HDPE,0.985,0.51,MIX,EXT,CH,RG
HDPE,0.985,0.54,MIX,EXT,CH,RG
HMW,0.973,14.0,BK,EXT,1.0,RG
HMW,0.975,12.0,BK,EXT,1.0,RG
HDPE,0.959,0.65,MIX,EXT,1.0,RG
HDPE,0.97,0.44,MIX,EXT,1.0,RG
HDPE,0.98,0.37,MIX,EXT,1.0,RG
HDPE,0.966,0.38,MIX,EXT,1.0,RG
HMW,0.966,4.7,MIX,EXT,1.0,RG
HDPE,0.965,0.3,MIX,EXT,2.0,RG
MDPE,0.965,2.7,MIX,OFF,1.0,RP
HMW,0.962,4.3,MIX,EXT,1.0,RG
HMW,0.962,4.5,MIX,EXT,1.0,RG
HMW,0.962,11.0,MIX,EXT,1.0,RG
HDPE,0.959,0.28,MIX,EXT,1.0,RG
HDPE,0.959,0.44,MIX,EXT,1.0,RG
PP,0.937,21.0,MIX,INJ,1.0,RG
HDPE,0.962,17.0,BK,INJ,1.0,RP
HDPE,0.965,6.0,WH,INJ,2.0,RG
HDPE,0.965,6.5,WH,INJ,2.0,RG
HDPE,0.966,6.1,WH,INJ,2.0,RG
HDPE,0.964,0.26,MIX,EXT,HF,RP
HDPE,0.97,0.23,MIX,EXT,HF,RP
HDPE,0.962,0.22,MIX,EXT,HF,RP
HDPE,0.962,0.18,MIX,EXT,HF,RP
MDPE,0.943,3.3,BK,OFF,1.0,RP
MDPE,0.951,3.2,BK,OFF,1.0,RP
MDPE,0.95,3.4,BK,OFF,1.0,RP
MDPE,0.951,3.6,BK,OFF,1.0,RP
MDPE,0.951,3.8,BK,OFF,1.0,RP
MDPE,0.952,3.1,BK,OFF,1.0,RP
HDPE,0.97,0.72,WH,EXT,1.0,RG
HDPE,0.951,0.38,MIX,EXT,2.0,RG
HDPE,0.969,6.6,MIX,INJ,2.0,RG
HDPE,0.925,5.3,MIX,INJ,2.0,RG
HDPE,0.966,0.29,MIX,EXT,2.0,RG
HDPE,0.959,5.0,MIX,INJ,2.0,RG
HDPE,0.925,8.0,MIX,INJ,2.0,RG
LDPE,0.937,0.98,MIX,INJ,2.0,RG
HDPE,0.966,0.26,MIX,EXT,1.0,RG
HDPE,0.966,0.31,MIX,EXT,1.0,RG
HMW,0.966,3.5,MIX,EXT,1.0,RG
HDPE,0.98,0.8,WH,EXT,1.0,RG
HDPE,0.98,0.9,WH,EXT,1.0,RG
HMW,0.956,11.0,RED,EXT,1.0,RG
HMW,0.958,9.9,BLU,EXT,1.0,RG
HDPE,0.962,6.3,MIX,INJ,2.0,RG
HDPE,0.966,7.77,MIX,INJ,1.0,RG
HDPE,0.958,6.98,MIX,INJ,1.0,RG
HDPE,0.91,4.57,BK,INJ,L,RG
HDPE,0.958,0.64,MIX,EXT,1.0,RG
HDPE,0.958,1.63,MIX,OFF,1.0,RG
LDPE,0.959,0.84,MIX,EXT,1.0,RP
LDPE,0.959,0.87,MIX,EXT,1.0,RP
HDPE,0.968,17.4,BK,INJ,1.0,RP
HDPE,0.963,17.35,BK,INJ,1.0,RP
HDPE,0.958,17.3,BK,INJ,1.0,RP
HDPE,0.937,5.3,MIX,INJ,2.0,RG
HDPE,0.956,7.4,MIX,INJ,2.0,RG
HDPE,0.959,6.32,MIX,INJ,2.0,RG
HDPE,0.966,5.1,BK,INJ,1.0,RP
HDPE,0.963,5.07,BK,INJ,1.0,RP
HDPE,0.958,6.1,MIX,INJ,E,RG
HDPE,0.958,10.5,BLU,INJ,1.0,RG
HDPE,0.958,8.0,MIX,INJ,1.0,RG
HDPE,0.958,7.6,MIX,INJ,1.0,RG
HDPE,0.973,6.3,BK,INJ,1.0,RP
HDPE,0.965,6.24,BK,INJ,1.0,RP
HDPE,0.973,5.7,BK,INJ,1.0,RP
HDPE,0.966,5.8,BK,INJ,1.0,RP
HDPE,0.966,6.4,BK,INJ,1.0,RP
HDPE,0.943,6.68,BK,INJ,1.0,RP
HDPE,0.97,0.27,MIX,EXT,HF,RP
HMW,0.959,11.0,MIX,EXT,1.0,RG
HMW,0.959,9.9,MIX,EXT,1.0,RG
HDPE,0.946,0.37,NAT,EXT,1.0,RP
HDPE,0.949,0.22,NAT,EXT,1.0,RP
LDPE,0.933,7.3,MIX,INJ,1.0,RP
LDPE,0.93,8.1,MIX,INJ,1.0,RP
LDPE,0.932,8.7,MIX,INJ,1.0,RP
HDPE,0.973,0.53,MIX,EXT,1.0,RG
LDPE,0.949,1.8,MIX,EXT,1.0,RG
HDPE,0.955,0.41,MIX,EXT,1.0,RG
HDPE,0.955,0.42,MIX,EXT,1.0,RG
HDPE,0.959,5.3,MIX,INJ,E,RG
HMW,0.959,4.1,MIX,EXT,E,RG
HDPE,0.959,45.52,MIX,INJ,1.0,RG
HDPE,0.959,24.0,MIX,INJ,1.0,RG
HDPE,0.958,25.82,MIX,INJ,1.0,RG
HDPE,0.933,12.0,MIX,INJ,1.0,RG
HDPE,0.959,20.0,MIX,INJ,1.0,RG
HDPE,0.937,31.0,MIX,INJ,1.0,RG
HMW,0.959,4.7,MIX,EXT,HF,RP
HMW,0.959,5.0,MIX,EXT,HF,RP
HMW,0.96,4.67,MIX,EXT,HF,RP
HMW,0.959,5.4,MIX,EXT,HF,RP
HMW,0.958,4.0,MIX,EXT,HF,RP
HMW,0.959,4.4,MIX,EXT,HF,RP
HMW,0.958,4.5,MIX,EXT,HF,RP
HMW,0.966,4.7,MIX,EXT,HF,RP
HDPE,0.959,0.14,MIX,EXT,1.0,RG
HDPE,0.959,0.09,MIX,EXT,1.0,RG
HDPE,0.959,0.23,MIX,EXT,1.0,RG
HDPE,0.973,1.0,MIX,EXT,1.0,RG
HDPE,0.959,0.2,MIX,EXT,1.0,RG
HDPE,0.959,0.25,MIX,EXT,1.0,RG
HDPE,0.962,0.42,MIX,EXT,1.0,RG
HDPE,0.973,0.96,WH,EXT,1.0,RG
HDPE,0.973,0.95,WH,EXT,1.0,RG
HDPE,0.973,1.0,WH,EXT,1.0,RG
HDPE,0.959,5.5,MIX,INJ,1.0,RG
HDPE,0.959,4.9,MIX,INJ,1.0,RG
HDPE,0.96,14.24,BK,INJ,1.0,RP
HDPE,0.969,14.1,BK,INJ,1.0,RP
HDPE,0.965,14.4,BK,INJ,1.0,RP
HDPE,0.959,12.7,BK,INJ,1.0,RP
HDPE,0.965,12.9,BK,INJ,1.0,RP
HDPE,0.933,13.7,BK,INJ,1.0,RP
